R2,R3,CYCLES
          0,          0,                  30
          0,          1,                  41
          0,          2,                  54
          0,          3,                  67
          0,          4,                  80
          0,          5,                  93
          0,          6,                 106
          0,          7,                 119
          0,          8,                 131
          0,          9,                 142
          0,         10,                 153
          0,         11,                 164
          0,         12,                 175
          0,         13,                 186
          0,         14,                 197
          0,         15,                 208
          1,          0,                  30
          1,          1,                  41
          1,          2,                  54
          1,          3,                  67
          1,          4,                  80
          1,          5,                  93
          1,          6,                 106
          1,          7,                 119
          1,          8,                 131
          1,          9,                 147
          1,         10,                 163
          1,         11,                 179
          1,         12,                 195
          1,         13,                 211
          1,         14,                 227
          1,         15,                 243
          2,          0,                  30
          2,          1,                  41
          2,          2,                  54
          2,          3,                  67
          2,          4,                  80
          2,          5,                  98
          2,          6,                 116
          2,          7,                 134
          2,          8,                 154
          2,          9,                 165
          2,         10,                 176
          2,         11,                 187
          2,         12,                 196
          2,         13,                 210
          2,         14,                 224
          2,         15,                 238
          3,          0,                  30
          3,          1,                  41
          3,          2,                  54
          3,          3,                  67
          3,          4,                  85
          3,          5,                 103
          3,          6,                 124
          3,          7,                 137
          3,          8,                 149
          3,          9,                 165
          3,         10,                 181
          3,         11,                 198
          3,         12,                 207
          3,         13,                 216
          3,         14,                 227
          3,         15,                 243
          4,          0,                  30
          4,          1,                  41
          4,          2,                  54
          4,          3,                  72
          4,          4,                  93
          4,          5,                 106
          4,          6,                 119
          4,          7,                 137
          4,          8,                 157
          4,          9,                 168
          4,         10,                 177
          4,         11,                 191
          4,         12,                 210
          4,         13,                 221
          4,         14,                 230
          4,         15,                 244
          5,          0,                  30
          5,          1,                  41
          5,          2,                  54
          5,          3,                  72
          5,          4,                  93
          5,          5,                 106
          5,          6,                 124
          5,          7,                 145
          5,          8,                 157
          5,          9,                 173
          5,         10,                 190
          5,         11,                 199
          5,         12,                 210
          5,         13,                 227
          5,         14,                 236
          5,         15,                 247
          6,          0,                  30
          6,          1,                  41
          6,          2,                  54
          6,          3,                  75
          6,          4,                  88
          6,          5,                 106
          6,          6,                 127
          6,          7,                 140
          6,          8,                 160
          6,          9,                 171
          6,         10,                 180
          6,         11,                 199
          6,         12,                 208
          6,         13,                 222
          6,         14,                 241
          6,         15,                 250
          7,          0,                  30
          7,          1,                  41
          7,          2,                  54
          7,          3,                  75
          7,          4,                  88
          7,          5,                 109
          7,          6,                 122
          7,          7,                 143
          7,          8,                 155
          7,          9,                 171
          7,         10,                 188
          7,         11,                 199
          7,         12,                 216
          7,         13,                 227
          7,         14,                 244
          7,         15,                 255
          8,          0,                  30
          8,          1,                  48
          8,          2,                  68
          8,          3,                  88
          8,          4,                 108
          8,          5,                 128
          8,          6,                 148
          8,          7,                 168
          8,          8,                 185
          8,          9,                 201
          8,         10,                 217
          8,         11,                 233
          8,         12,                 249
          8,         13,                 265
          8,         14,                 281
          8,         15,                 297
          9,          0,                  30
          9,          1,                  48
          9,          2,                  68
          9,          3,                  88
          9,          4,                 108
          9,          5,                 128
          9,          6,                 148
          9,          7,                 168
          9,          8,                 185
          9,          9,                 201
          9,         10,                 217
          9,         11,                 233
          9,         12,                 249
          9,         13,                 265
          9,         14,                 281
          9,         15,                 297
         10,          0,                  30
         10,          1,                  48
         10,          2,                  68
         10,          3,                  88
         10,          4,                 108
         10,          5,                 128
         10,          6,                 148
         10,          7,                 168
         10,          8,                 188
         10,          9,                 204
         10,         10,                 220
         10,         11,                 236
         10,         12,                 252
         10,         13,                 268
         10,         14,                 284
         10,         15,                 300
         11,          0,                  30
         11,          1,                  48
         11,          2,                  68
         11,          3,                  91
         11,          4,                 111
         11,          5,                 131
         11,          6,                 154
         11,          7,                 174
         11,          8,                 191
         11,          9,                 207
         11,         10,                 223
         11,         11,                 239
         11,         12,                 255
         11,         13,                 271
         11,         14,                 287
         11,         15,                 303
         12,          0,                  30
         12,          1,                  48
         12,          2,                  68
         12,          3,                  88
         12,          4,                 111
         12,          5,                 131
         12,          6,                 151
         12,          7,                 171
         12,          8,                 191
         12,          9,                 207
         12,         10,                 223
         12,         11,                 239
         12,         12,                 258
         12,         13,                 274
         12,         14,                 290
         12,         15,                 306
         13,          0,                  30
         13,          1,                  48
         13,          2,                  68
         13,          3,                  88
         13,          4,                 111
         13,          5,                 134
         13,          6,                 154
         13,          7,                 174
         13,          8,                 191
         13,          9,                 207
         13,         10,                 226
         13,         11,                 242
         13,         12,                 258
         13,         13,                 274
         13,         14,                 290
         13,         15,                 309
         14,          0,                  30
         14,          1,                  48
         14,          2,                  68
         14,          3,                  88
         14,          4,                 108
         14,          5,                 128
         14,          6,                 151
         14,          7,                 174
         14,          8,                 194
         14,          9,                 210
         14,         10,                 226
         14,         11,                 242
         14,         12,                 258
         14,         13,                 274
         14,         14,                 293
         14,         15,                 312
         15,          0,                  30
         15,          1,                  48
         15,          2,                  68
         15,          3,                  88
         15,          4,                 108
         15,          5,                 128
         15,          6,                 148
         15,          7,                 168
         15,          8,                 185
         15,          9,                 201
         15,         10,                 220
         15,         11,                 239
         15,         12,                 258
         15,         13,                 277
         15,         14,                 296
         15,         15,                 315
