R2,R3,CYCLES
          0,          1,                  40
          0,          2,                  40
          0,          3,                  40
          0,          4,                  40
          0,          5,                  40
          0,          6,                  40
          0,          7,                  40
          0,          8,                  40
          0,          9,                  40
          0,         10,                  40
          0,         11,                  40
          0,         12,                  40
          0,         13,                  40
          0,         14,                  40
          0,         15,                  40
          1,          1,                  50
          1,          2,                  40
          1,          3,                  40
          1,          4,                  40
          1,          5,                  40
          1,          6,                  40
          1,          7,                  40
          1,          8,                  40
          1,          9,                  40
          1,         10,                  40
          1,         11,                  40
          1,         12,                  40
          1,         13,                  40
          1,         14,                  40
          1,         15,                  48
          2,          1,                  60
          2,          2,                  50
          2,          3,                  40
          2,          4,                  40
          2,          5,                  40
          2,          6,                  40
          2,          7,                  40
          2,          8,                  40
          2,          9,                  40
          2,         10,                  40
          2,         11,                  40
          2,         12,                  40
          2,         13,                  40
          2,         14,                  48
          2,         15,                  58
          3,          1,                  70
          3,          2,                  50
          3,          3,                  50
          3,          4,                  40
          3,          5,                  40
          3,          6,                  40
          3,          7,                  40
          3,          8,                  40
          3,          9,                  40
          3,         10,                  40
          3,         11,                  40
          3,         12,                  40
          3,         13,                  48
          3,         14,                  48
          3,         15,                  68
          4,          1,                  80
          4,          2,                  60
          4,          3,                  50
          4,          4,                  50
          4,          5,                  40
          4,          6,                  40
          4,          7,                  40
          4,          8,                  40
          4,          9,                  40
          4,         10,                  40
          4,         11,                  40
          4,         12,                  48
          4,         13,                  48
          4,         14,                  58
          4,         15,                  78
          5,          1,                  90
          5,          2,                  60
          5,          3,                  50
          5,          4,                  50
          5,          5,                  50
          5,          6,                  40
          5,          7,                  40
          5,          8,                  40
          5,          9,                  40
          5,         10,                  40
          5,         11,                  48
          5,         12,                  48
          5,         13,                  48
          5,         14,                  58
          5,         15,                  88
          6,          1,                 100
          6,          2,                  70
          6,          3,                  60
          6,          4,                  50
          6,          5,                  50
          6,          6,                  50
          6,          7,                  40
          6,          8,                  40
          6,          9,                  40
          6,         10,                  48
          6,         11,                  48
          6,         12,                  48
          6,         13,                  58
          6,         14,                  68
          6,         15,                  98
          7,          1,                 110
          7,          2,                  70
          7,          3,                  60
          7,          4,                  50
          7,          5,                  50
          7,          6,                  50
          7,          7,                  50
          7,          8,                  40
          7,          9,                  48
          7,         10,                  48
          7,         11,                  48
          7,         12,                  48
          7,         13,                  58
          7,         14,                  68
          7,         15,                 108
          8,          1,                 128
          8,          2,                  90
          8,          3,                  70
          8,          4,                  70
          8,          5,                  60
          8,          6,                  60
          8,          7,                  60
          8,          8,                  52
          8,          9,                  50
          8,         10,                  50
          8,         11,                  50
          8,         12,                  62
          8,         13,                  60
          8,         14,                  82
          8,         15,                 120
          9,          1,                 120
          9,          2,                  80
          9,          3,                  70
          9,          4,                  60
          9,          5,                  60
          9,          6,                  60
          9,          7,                  60
          9,          8,                  40
          9,          9,                  52
          9,         10,                  50
          9,         11,                  50
          9,         12,                  50
          9,         13,                  60
          9,         14,                  70
          9,         15,                 112
         10,          1,                 110
         10,          2,                  80
         10,          3,                  70
         10,          4,                  60
         10,          5,                  60
         10,          6,                  60
         10,          7,                  52
         10,          8,                  40
         10,          9,                  40
         10,         10,                  52
         10,         11,                  50
         10,         12,                  50
         10,         13,                  62
         10,         14,                  72
         10,         15,                 102
         11,          1,                 100
         11,          2,                  70
         11,          3,                  60
         11,          4,                  60
         11,          5,                  60
         11,          6,                  52
         11,          7,                  52
         11,          8,                  40
         11,          9,                  40
         11,         10,                  40
         11,         11,                  52
         11,         12,                  50
         11,         13,                  50
         11,         14,                  60
         11,         15,                  92
         12,          1,                  90
         12,          2,                  70
         12,          3,                  60
         12,          4,                  60
         12,          5,                  52
         12,          6,                  52
         12,          7,                  52
         12,          8,                  40
         12,          9,                  40
         12,         10,                  40
         12,         11,                  40
         12,         12,                  52
         12,         13,                  50
         12,         14,                  62
         12,         15,                  82
         13,          1,                  80
         13,          2,                  60
         13,          3,                  60
         13,          4,                  52
         13,          5,                  52
         13,          6,                  52
         13,          7,                  52
         13,          8,                  40
         13,          9,                  40
         13,         10,                  40
         13,         11,                  40
         13,         12,                  40
         13,         13,                  52
         13,         14,                  50
         13,         15,                  72
         14,          1,                  70
         14,          2,                  60
         14,          3,                  52
         14,          4,                  52
         14,          5,                  52
         14,          6,                  52
         14,          7,                  52
         14,          8,                  40
         14,          9,                  40
         14,         10,                  40
         14,         11,                  40
         14,         12,                  40
         14,         13,                  40
         14,         14,                  52
         14,         15,                  62
         15,          1,                  60
         15,          2,                  52
         15,          3,                  52
         15,          4,                  52
         15,          5,                  52
         15,          6,                  52
         15,          7,                  52
         15,          8,                  40
         15,          9,                  40
         15,         10,                  40
         15,         11,                  40
         15,         12,                  40
         15,         13,                  40
         15,         14,                  40
         15,         15,                  52
